degree,table1,moon_corr,table2,table3,table4,table5a,table5b,table6,table7
0,0,0,0,0,0,-59,9,0.4,0.166666667
1,-2,0,0,-5,5.2,-59,9,0.4,0.166666667
2,-4,0,0,-10,10.4,-59,9,0.4,0.166666667
3,-6,0,0,-15,15.6,-59,9,0.4,0.166666667
4,-8,0,0,-20,20.8,-59,9,0.4,0.166666667
5,-10,0,0,-25,26,-59,9,0.4,0.166666667
6,-12,0,1,-30,31.2,-59,9,0.4,0.166666667
7,-14,0,1,-35,36.4,-59,9,0.4,0.166666667
8,-16,0,1,-40,41.6,-59,9,0.4,0.166666667
9,-18,0,1,-45,46.8,-59,9,0.4,0.166666667
10,-20,0,1,-50,52,-59,9,0.4,0.166666667
11,-22,0,1,-54.8,57.1,-59,9,0.4,0.166666667
12,-24,0,2,-59.6,62.2,-59,9,0.4,0.166666667
13,-26,0,2,-64.4,67.3,-59,9,0.4,0.166666667
14,-28,0,2,-69.2,72.4,-59,9,0.4,0.166666667
15,-30,15,2,-74,77.5,-59,9,0.4,0.166666667
16,-32,15,2,-78.8,82.6,-59,9,0.4,0.166666667
17,-34,15,2,-83.6,87.7,-59,9,0.4,0.166666667
18,-36,15,2,-88.4,92.8,-59,9,0.4,0.166666667
19,-38,15,3,-93.2,97.9,-59,9,0.4,0.166666667
20,-40,15,3,-98,103,-59,9,0.333333333,0.166666667
21,-41.8,15,3,-102.6,107.7,-59,9,0.333333333,0.166666667
22,-43.6,15,3,-107.2,112.4,-59,9,0.333333333,0.166666667
23,-45.4,15,3,-111.8,117.1,-59,9,0.333333333,0.166666667
24,-47.2,15,3,-116.4,121.8,-59,9,0.333333333,0.166666667
25,-49,15,4,-121,126.5,-59,9,0.333333333,0.166666667
26,-50.8,15,4,-125.6,131.2,-59,9,0.333333333,0.166666667
27,-52.6,15,4,-130.2,135.9,-59,9,0.333333333,0.166666667
28,-54.4,15,4,-134.8,140.6,-59,9,0.333333333,0.166666667
29,-56.2,15,4,-139.4,145.3,-59,9,0.333333333,0.166666667
30,-58,15,4,-144,150,-60,10,0.333333333,0.2
31,-59.7,15,4,-147.9,154.3,-60,10,0.333333333,0.2
32,-61.4,15,5,-151.8,158.6,-60,10,0.333333333,0.2
33,-63.1,15,5,-155.7,162.9,-60,10,0.333333333,0.2
34,-64.8,15,5,-159.6,167.2,-60,10,0.333333333,0.2
35,-66.5,15,5,-163.5,171.5,-60,10,0.333333333,0.2
36,-68.2,15,5,-167.4,175.8,-60,10,0.333333333,0.2
37,-69.9,15,5,-171.3,180.1,-60,10,0.333333333,0.2
38,-71.6,15,5,-175.2,184.4,-60,10,0.333333333,0.2
